NFHS_District,lower_name,GeoJSON_District,_merge
,sonepur,Sonepur,right_only
Sonipat ,sonipat,,left_only
Sonitpur ,sonitpur,Sonitpur,both
South ,south,,left_only
,south 24 parganas,South 24 Parganas,right_only
South Andaman ,south andaman,,left_only
South District ,south district,,left_only
South East ,south east,,left_only
South Garo Hills ,south garo hills,South Garo Hills,both
South Goa ,south goa,South Goa,both
South Salmara Mancachar ,south salmara mancachar,,left_only
,south sikkim,South Sikkim,right_only
South Tripura ,south tripura,South Tripura,both
South Twenty Four Pargana ,south twenty four pargana,,left_only
South West ,south west,,left_only
South West Garo Hills ,south west garo hills,,left_only
South West Khasi Hills ,south west khasi hills,,left_only
Sri Potti Sriramulu Nello ,sri potti sriramulu nello,,left_only
Srikakulam ,srikakulam,Srikakulam,both
Srinagar ,srinagar,Srinagar,both
Subarnapur ,subarnapur,,left_only
Sukma ,sukma,,left_only
